year,fips,county,state,urban,copd_edv,copd_hos,copd_pre,copd_prs,copd_pqi,asth_pre,toba_pre,copd_apc
2012-2015,37139,Pasquotank County,NORTH CAROLINA,0,6.636155606407322,-9.090909090909092,0,0,-18.8,4,2,-5.926481620405101
2012-2015,37141,Pender County,NORTH CAROLINA,1,11.311475409836067,-12.5,0,0,0.10131712259371835,4,2,0.6216006216006217
2012-2015,37143,Perquimans County,NORTH CAROLINA,0,2.163833075734158,-10,0,0,-16.481069042316257,3,1,3.1562740569668977
2012-2015,37145,Person County,NORTH CAROLINA,1,-0.9673518742442564,-25,0,0,-16.77175283732661,3,0,18.005698005698004
2012-2015,37147,Pitt County,NORTH CAROLINA,1,11.855670103092784,-14.285714285714285,1,0,-3.752931978107897,4,3,-12.56797583081571
2012-2015,37149,Polk County,NORTH CAROLINA,0,0.3418803418803419,-33.333333333333336,-1,1,-30.959302325581397,1,1,-25.77903682719547
2012-2015,37151,Randolph County,NORTH CAROLINA,1,7.078313253012048,0,1,1,10.533515731874145,5,2,-7.800829875518672
2012-2015,37153,Richmond County,NORTH CAROLINA,0,8.245445829338447,5,1,0,17.68595041322314,6,3,-9.408033826638476
2012-2015,37155,Robeson County,NORTH CAROLINA,0,7.737512242899117,23.52941176470588,1,0,29.08224076281287,4,2,22.34600262123198
2012-2015,37157,Rockingham County,NORTH CAROLINA,1,3.8283062645011605,-40,0,1,-33.16880552813425,4,2,-18.790035587188612
2012-2015,37159,Rowan County,NORTH CAROLINA,0,9.333333333333334,10,1,0,11.641359363702097,4,2,15.541490857946554
2012-2015,37161,Rutherford County,NORTH CAROLINA,0,4.942965779467681,-50,1,1,-45.15910629654706,2,0,-24.282982791587
2012-2015,37163,Sampson County,NORTH CAROLINA,0,15.483119906868453,-18.181818181818183,1,0,-17.725490196078432,5,1,-20.898570456092582
2012-2015,37165,Scotland County,NORTH CAROLINA,0,12.277019937040924,0,0,0,-4.63963963963964,5,3,3.2100488485694347
2012-2015,37167,Stanly County,NORTH CAROLINA,1,-3.205918618988903,-22.22222222222222,0,2,-0.9216589861751152,3,1,4.358502148557397
2012-2015,37169,Stokes County,NORTH CAROLINA,1,16.18075801749271,-28.57142857142857,2,0,-32.46268656716418,6,3,-21.560693641618496
2012-2015,37171,Surry County,NORTH CAROLINA,0,-0.8958566629339306,7.692307692307692,1,1,14.465408805031448,7,3,-5.369928400954653
2012-2015,37173,Swain County,NORTH CAROLINA,0,-8.26972010178117,0,1,0,-31.05590062111801,4,2,9.130434782608695
2012-2015,37175,Transylvania County,NORTH CAROLINA,0,7.352941176470588,0,1,0,9.487666034155598,3,2,4.563758389261745
2012-2015,37177,Tyrrell County,NORTH CAROLINA,0,-2.6212319790301444,-69.23076923076923,2,0,-99.99999999999999,4,1,-75.06989748369058
2012-2015,37179,Union County,NORTH CAROLINA,1,2.3076923076923075,14.285714285714285,1,0,8.907363420427554,3,0,5.093833780160858
2012-2015,37181,Vance County,NORTH CAROLINA,0,8.660508083140877,27.272727272727273,1,0,14.20389461626575,4,2,9.408033826638476
2012-2015,37183,Wake County,NORTH CAROLINA,1,7.4866310160427805,0,0,0,-0.9971509971509972,2,1,-8.089260808926081
2012-2015,37185,Warren County,NORTH CAROLINA,0,7.881136950904392,70,2,2,31.10730593607306,4,2,34.303697875688435
2012-2015,37187,Washington County,NORTH CAROLINA,0,23.63150867823765,-30,1,0,-10.1026045777427,4,2,-42.428035043804755
2012-2015,37189,Watauga County,NORTH CAROLINA,0,-1.8461538461538463,25,0,3,20.80200501253133,4,2,12.012728719172634
2012-2015,37191,Wayne County,NORTH CAROLINA,1,14.759036144578314,-22.22222222222222,1,0,-12.049180327868854,5,4,2.1343873517786562
2012-2015,37193,Wilkes County,NORTH CAROLINA,0,1.7301038062283738,0,1,0,18.738049713193117,4,1,8.31043956043956
2012-2015,37195,Wilson County,NORTH CAROLINA,0,12.765957446808512,-30,1,1,-42.648037258815705,4,2,-13.92143349414197
2012-2015,37197,Yadkin County,NORTH CAROLINA,1,-10.416666666666666,-25,2,0,-19.159335288367547,7,2,-14.309484193011647
2012-2015,37199,Yancey County,NORTH CAROLINA,0,5.0675675675675675,-50,1,0,-52.011922503725785,4,1,10.499227997941327
2012-2015,38003,Barnes County,NORTH DAKOTA,0,-3.3826638477801265,-62.5,-2,0,-42.52873563218391,5,2,-52.083333333333336
2012-2015,38005,Benson County,NORTH DAKOTA,0,1.148105625717566,-52.94117647058823,0,0,-17.7491601343785,3,0,19.547657512116317
2012-2015,38007,Billings County,NORTH DAKOTA,0,-9.86159169550173,0,-2,0,0,5,1,16.08548931383577
2012-2015,38011,Bowman County,NORTH DAKOTA,0,-13.544018058690746,-71.42857142857143,0,0,-67.25223732184288,3,1,18.140243902439025
2012-2015,38013,Burke County,NORTH DAKOTA,0,-12.026726057906458,-100,1,0,0,2,0,-62.075401269130275
2012-2015,38015,Burleigh County,NORTH DAKOTA,1,-2.1241830065359477,0,0,0,19.477911646586342,1,-1,24.19213973799127
2012-2015,38017,Cass County,NORTH DAKOTA,1,-1.664145234493192,0,0,0,6.211180124223603,3,1,4.553571428571429
2012-2015,38019,Cavalier County,NORTH DAKOTA,0,-10.609480812641085,-76.92307692307692,-3,0,3.303303303303303,2,1,30.316409124356145
2012-2015,38021,Dickey County,NORTH DAKOTA,0,11.61137440758294,37.5,1,0,42.915392456676855,0,1,-14.76923076923077
2012-2015,38023,Divide County,NORTH DAKOTA,0,44.72477064220183,-100,2,0,-100,4,0,49.71932638331997
2012-2015,38025,Dunn County,NORTH DAKOTA,0,-7.026143790849673,-99.99999999999999,2,0,9.991158267020335,2,1,-65.33692722371967
2012-2015,38027,Eddy County,NORTH DAKOTA,0,-29.166666666666664,-100,-4,0,-37.60848601735776,3,4,-49.73040232268768
2012-2015,38029,Emmons County,NORTH DAKOTA,0,3.389830508474576,-20,2,0,33.33333333333333,1,2,-46.129374337221634
2012-2015,38031,Foster County,NORTH DAKOTA,0,7.868020304568528,0,-2,0,13.573883161512027,1,1,-12.958626073380172
2012-2015,38033,Golden Valley County,NORTH DAKOTA,0,59.01960784313726,0,-1,0,0,2,1,107.54475703324808
2012-2015,38035,Grand Forks County,NORTH DAKOTA,1,-3.794037940379404,-44.44444444444444,0,0,-19.548133595284874,4,-1,6.998813760379597
2012-2015,38037,Grant County,NORTH DAKOTA,0,17.234848484848484,20,1,0,55.80985915492958,2,0,-8.791866028708135
2012-2015,38039,Griggs County,NORTH DAKOTA,0,56.23003194888179,57.14285714285714,-3,0,24.56896551724138,3,2,217.02544031311155
2012-2015,38041,Hettinger County,NORTH DAKOTA,0,2.1226415094339623,83.33333333333334,3,0,-7.7201447527141145,0,2,51.7485613103143
2012-2015,38043,Kidder County,NORTH DAKOTA,0,-9.645669291338583,87.5,1,0,41.32762312633833,2,2,51.970181043663466
